sionna_material,visual_material,slot_count,object_count,face_count,texture_files,objects_preview,strict_reason
itu_brick,Brick1_rrx_Ground,1,1,177,Brick1_Diff.png;Brick1_Norm.png;Brick1_Spec.png,Terrain_Ground_Layer0_2Node,direct brick material name or texture
itu_brick,Bricks1_Building,2,2,128,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,direct brick material name or texture
itu_brick,Bricks20_Building,2,2,12,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,direct brick material name or texture
itu_brick,Bricks7_Building,1,1,184,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,mX15m_01_5storey_Interior_mesh_BuildingNode,direct brick material name or texture
itu_brick,Bricks7_Prop,1,1,176,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx15m_01_5storey_Interior_PropNode,direct brick material name or texture
itu_brick,Bricks8_Building,3,3,12282,Bricks_Red_Diff.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002,direct brick material name or texture
itu_brick,Bricks_Building,5,5,20,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,direct brick material name or texture
itu_brick,Bricks_Building_1,1,1,382,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode,direct brick material name or texture
itu_brick,Bricks_Building_2,2,2,4726,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,direct brick material name or texture
itu_brick,Bricks_Building_3,2,2,7872,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001,direct brick material name or texture
itu_brick,Bricks_Building_4,1,1,2390,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode,direct brick material name or texture
itu_brick,Bricks_Prop,1,1,3542,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx15m_01_5storey0_PropNode,direct brick material name or texture
itu_brick,Bricks_Tan1_Building,3,3,5892,Bricks_Norm.png;Bricks_Spec.png;Bricks_Tan_Diff.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,direct brick material name or texture
itu_brick,Bricks_Tan2_Building,6,6,2508,Bricks_Norm.png;Bricks_Spec.png;Bricks_Tan_Diff.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,direct brick material name or texture
itu_brick,Bricks_Tan_Building,3,3,60,Bricks_Norm.png;Bricks_Spec.png;Bricks_Tan_Diff.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,direct brick material name or texture
itu_brick,Bricks_White1_Building,3,3,252,Bricks_Norm.png;Bricks_Spec.png;Bricks_White_Diff.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,direct brick material name or texture
