bag,rf_msg_count,stamp_s,rx_x,rx_y,rx_z,anchor_count,valid_path_count,best_anchor,best_path_id,best_power_db,best_path_gain_linear,best_tau_s,best_doppler_hz,best_aoa_az_rad,best_aoa_el_rad
00.bag,1,1773629127.6963823,-0.002041876781731844,-0.0015970164677128196,0.0,3,1,BS 1,tx1_rx0_path0,-79.93221421188385,1.0157306995495219e-08,2.2559669332622434e-07,-9.24831771850586,-0.5666919946670532,1.301404356956482
01.bag,1,1773629128.3563962,0.0011062008561566472,-0.0031121778301894665,0.0,3,1,BS 1,tx1_rx0_path0,-79.93178358863565,1.0158314189823159e-08,2.255855378052729e-07,-6.221203327178955,-0.5666983723640442,1.3013906478881836
02.bag,1,1773629127.3363745,-0.0032114016357809305,-0.0010345890186727047,0.0,3,1,BS 1,tx1_rx0_path0,-79.93237219372796,1.0156937513272624e-08,2.2560082868494646e-07,-9.264572143554688,-0.5666897296905518,1.301409363746643
03.bag,1,1773629126.364354,-0.0034313667565584183,-0.0011281882179901004,0.0,3,1,BS 1,tx1_rx0_path0,-79.93239118231725,1.0156893104351639e-08,2.2560126922144264e-07,-9.296757698059082,-0.5666866898536682,1.3014099597930908
